economicActivityFemale,country,region,totalfertilityrate,lifeMale,infantMortality,gdpPerCapita,economicActivityMale,illiteracyMale,illiteracyFemale,lifeFemale,geographic_location,contraception
7.2,Afghanistan,other,6.9,45,154,2474,87.5,52.8,85,46,Southern Asia,
7.8,Algeria,other,3.81,67.5,44,11433,76.4,26.1,51,70.3,Northern Africa,
41.3,Argentina,west,2.62,69.6,22,22141,76.2,3.8,3.8,76.8,South America,
52,Armenia,west,1.7,67.2,25,13638,65,0.3,0.5,74,Western Asia,
53.8,Australia,other,1.89,75.4,6,54891,74,1,1,81.2,Oceania,
47.7,Austria,west,1.42,73.7,6,57891,69.5,1,1,80.1,Western Europe,
67,Bahamas,west,1.95,70.5,14,34046,81.2,1.5,2,77.1,North America,
29.2,Bahrain,other,2.97,71.1,18,50284,88.2,10.9,20.6,75.3,Western Asia,
55.9,Bangladesh,other,3.14,58.1,78,5812,88.8,50.6,73.9,58.2,Southern Asia,
61.4,Barbados,west,1.73,73.6,9,14329,73.4,2,3.2,78.7,North America,
61.3,Belarus,west,1.4,64.4,15,20578,76.4,0.3,0.6,74.8,Eastern Europe,
34,Belize,west,3.66,73.4,30,6133,79,21.252,23.472,76.1,North America,79
57.8,Benin,other,5.83,52.4,84,3573,90,51.3,74.2,57.2,Western Africa,79
56.3,Bolivia,west,4.36,59.8,66,8832,74.1,9.5,24,63.2,South America,79
41.7,Botswana,other,4.45,48.9,56,18113,75.4,19.5,40.1,51.7,Southern Africa,79
53.6,Brazil,west,2.17,63.4,42,15643,84,16.7,16.8,71.2,South America,79
46.4,Brunei,other,2.7,73.4,9,64405,82.2,7.4,16.6,78.1,South-eastern Asia,79
53.8,Bulgaria,west,1.45,67.8,16,25471,60.7,0.924,2.376,74.9,Eastern Europe,79
79.4,Burkina Faso,other,6.57,45.1,97,2334,88.9,70.5,90.8,47,Western Africa,79
90.6,Burundi,other,6.28,45.5,114,772,90.1,50.7,77.5,48.8,Eastern Africa,79
84.7,Cambodia,other,4.5,52.6,102,4930,77.3,19.5,13.5,55.4,South-eastern Asia,79
57.6,Canada,west,1.61,76.1,6,51713,72.4,1,35,81.8,Northern America,79
41.1,Cape Verde,other,3.56,65.5,41,6837,85.1,18.6,36.2,67.5,Western Africa,79
68.8,Central African Republic,other,4.95,46.4,96,1013,87,31.5,47.6,51,Middle Africa,79
25.3,Chad,other,5.51,46.3,115,1621,91.2,37.9,65.3,49.3,Middle Africa,79
34.5,Chile,west,2.44,72.3,13,24928,75.5,4.6,5,78.3,South America,79
72.9,China,other,1.8,68.2,38,18931,84.9,10.1,27.3,71.7,Eastern Asia,79
50.2,Colombia,west,2.69,68.2,24,15184,79,8.8,8.6,73.7,South America,79
49.2,Congo,other,5.87,48.6,90,4169,68.4,16.9,32.8,53.4,Middle Africa,79
43.6,Cook Islands,other,3.5,67,26,10466,71.4,3.102,4.104,73,Oceania,79
33.3,Costa Rica,west,2.95,74.5,12,20667,79.2,5.3,5,79.2,North America,79
44,Croatia,west,1.6,68.1,10,29777,64.1,0.924,4.32,76.5,Southern Europe,79
41.2,Cuba,west,1.55,74.2,9,9099,72.6,3.8,4.7,78,North America,79
47.6,Cyprus,west,2.31,75.4,7,41595,78,2.046,9,79.8,Western Asia,79
52.1,Czech Republic,west,1.4,69.8,9,42956,71.5,1,1,76,Eastern Europe,79
72.3,Denmark,west,1.82,73,7,61478,83.2,1,1,78.3,Northern Europe,79
42.9,Dominican Republic,west,2.8,68.9,34,19799,82.6,18,17.8,73.1,North America,79
48.4,Ecuador,west,3.1,67.3,46,11331,79.7,8,11.8,72.5,South America,79
21.6,Egypt,other,3.4,64.7,54,13083,73.4,36.4,61.2,67.3,Northern Africa,79
40.6,El Salvador,west,3.09,66.5,39,8891,79.8,26.5,30.2,72.5,North America,79
42.4,Equatorial Guinea,other,5.51,48.4,107,18236,89.1,10.4,31.9,51.6,Middle Africa,79
54.1,Estonia,west,1.3,63.9,12,39729,71.5,0.2,0.2,75,Northern Europe,79
58.4,Ethiopia,other,7,48.4,107,2973,84.7,54.5,74.7,51.6,Eastern Africa,79
23.3,Fiji,other,2.76,70.6,20,12298,85.4,6.2,10.7,74.9,Oceania,79
55.4,Finland,west,1.83,73,5,51867,66.9,0,0,80.1,Northern Europe,79
48.4,France,west,1.63,74.6,7,49492,62.7,1,1,82.9,Western Europe,77
48.5,French Polynesia,other,2.85,69.8,10,19766,74.2,2,2,75.3,Oceania,77
44.8,Gambia,other,5.2,45.4,122,2384,70.2,47.2,75.1,48.7,Western Africa,77
58,Georgia,other,1.9,68.5,23,15709,75,0.3,0.6,76.7,Western Asia,77
47.3,Germany,west,1.3,73.4,6,56956,68.1,1,1,79.9,Western Europe,77
36.1,Greece,west,1.38,75.5,8,30495,64.7,1.7,4.7,80.6,Southern Europe,77
52.3,Guadeloupe,west,2.1,72.1,8,9145,66.9,9.768,9.576,78.8,North America,77
60,Guam,other,3.04,72.7,10,18000,84,1.4,1.2,76.8,Oceania,77
18.4,Guatemala,west,4.9,64.7,40,8648,84,37.5,51.4,69.8,North America,77
44.9,Guinea,other,6.61,46,124,2731,79.9,50.1,78.1,47,Western Africa,77
39.3,Guyana,west,2.32,61.1,58,23258,81.2,1.4,2.5,67.9,South America,77
49,Haiti,west,4.6,52.8,82,2962,80.3,52,57.8,56,North America,77
34.7,Honduras,west,4.3,67.5,35,5698,86.4,27.4,27.3,72.3,North America,77
47.8,Hong Kong,other,1.32,76.1,5,62839,76,4,11.8,81.8,Eastern Asia,77
43.4,Hungary,west,1.4,64.5,14,35088,61.1,0.7,1,73.8,Eastern Europe,77
76.8,Iceland,west,2.19,77.4,5,58151,86.2,1,1,81.2,Northern Europe,77
33.7,India,other,3.07,62.1,72,7333,80.4,34.5,62.3,62.7,Southern Asia,77
51.3,Indonesia,other,2.63,63.3,48,12882,84.8,10.4,22,67,South-eastern Asia,77
9.9,Iran,other,4.77,68.5,39,13513,79.8,22.3,40.7,70,Southern Asia,77
10.3,Iraq,other,5.25,60.9,95,10038,74,29.3,55,63.9,Western Asia,77
41.1,Ireland,west,1.8,74,6,99239,67.8,1,1,79.4,Northern Europe,77
45.6,Israel,other,2.75,75.7,7,42570,62.1,2.442,6.696,79.5,Western Asia,77
34.6,Italy,west,1.19,75.1,7,43376,61.6,1.4,2.4,81.4,Southern Europe,77
42,Ivory Coast,other,5.1,50,86,5642,88.7,50.1,70,52.2,Western Africa,77
62.4,Jamaica,west,2.44,72.4,12,10294,74,19.2,10.9,76.8,North America,77
50,Japan,other,1.48,76.9,4,44585,77.7,1,1,82.9,Eastern Asia,77
12.7,Jordan,other,5.13,67.7,30,10590,72.5,6.6,20.6,71.8,Western Asia,77
62.8,Kazakhstan,other,2.3,62.8,34,27560,78.5,0.3,0.5,72.5,Central Asia,77
68,Kiribati,other,3.8,58,65,2242,84,2.7,2.7,63,Oceania,77
34.3,Kuwait,other,2.77,74.1,14,41507,80.1,17.8,25.1,78.2,Western Asia,77
60,Kyrgyzstan,other,3.21,63.4,39,5323,75,0.3,0.5,71.9,Central Asia,77
51.5,Latvia,west,1.4,62.5,16,33394,69.8,0.2,0.3,74.3,Northern Europe,77
65.1,Lithuania,west,1.5,64.9,13,40784,75.7,0.4,0.7,76,Northern Europe,77
37.3,Luxembourg,west,1.76,73.1,6,122740,65.7,1,1,79.7,Western Europe,77
56.4,Macau,other,1.6,75.1,8,90606,81.1,5.412,14.616,80.1,Eastern Asia,77
42.9,Macedonia,west,1.9,70.3,23,5888,67,2.2,3.2,74.7,Eastern Europe,0
75.3,Malawi,other,6.69,40.3,142,1005,80.6,28.1,58.2,41.1,Eastern Africa,53
42.2,Malaysia,other,3.24,69.9,11,29340,77.1,10.9,21.9,74.3,South-eastern Asia,53
20.2,Maldives,other,6.8,65.7,49,23343,77.3,6.7,7,63.3,Southern Asia,53
27.4,Malta,west,2.1,74.6,8,45042,74.1,10.758,11.088,79.1,Southern Europe,53
30,Marshall Islands,other,4.49,59.1,26,3767,77,5.94,9.72,63,Oceania,53
54.1,Martinique,west,2,73.7,7,12717,65.7,7.656,6.48,80.3,North America,53
38.8,Mauritius,other,2.28,68.3,15,22030,80.1,12.9,21.2,75,Eastern Africa,53
37.4,Mexico,west,2.75,69.5,31,20266,83.9,8.2,12.6,75.5,North America,53
33,Micronesia,other,5.6,64.4,20,3372,65,15.378,22.176,68.8,Oceania,53
61.6,Moldova,west,1.8,63.5,26,13879,74.9,1.122,4.896,71.5,Eastern Europe,53
25.1,Morocco,other,3.1,64.8,51,8027,74.9,43.4,69,68.5,Northern Africa,53
86.5,Mozambique,other,6.06,45.5,110,1293,88.2,42.3,76.7,48.4,Eastern Africa,53
38.9,Myanmar,other,3.3,58.5,78,4831,73.8,11.3,22.3,61.8,South-eastern Asia,53
49,Namibia,other,4.9,54.7,60,9542,68.6,17.688,25.2,56.6,Southern Africa,53
48.7,Nepal,other,4.95,57.6,82,4199,79.8,59.1,86,57.1,Southern Asia,53
60.2,Netherlands,west,1.55,75,6,60461,81.1,1,1,80.6,Western Europe,53
51.1,Netherlands Antilles,west,2.1,73.4,10,52304,69.8,4.752,6.12,79.3,Western Europe,53
49.9,New Caledonia,other,2.53,70.9,18,19450,80.8,5.346,7.776,75.9,Oceania,53
56.2,New Zealand,other,2.02,74.7,7,44226,74.4,1,1,79.7,Oceania,53
33.4,Nicaragua,west,3.85,65.8,44,5648,84.5,35.4,33.4,70.6,North America,53
37.2,Nigeria,other,5.97,50.8,77,5280,78.3,32.7,52.7,54,Western Africa,53
65.9,Norway,west,1.88,74.8,5,69171,76.8,0,0,80.6,Northern Europe,53
15.8,Oman,other,7.2,68.9,25,30404,84.1,3.01,7.31,73.3,Western Asia,53
12.7,Pakistan,other,5.02,62.9,74,5224,82.3,50,75.6,65.1,Southern Asia,53
53,Palau,other,3,65,25,12862,72,1.386,3.096,69,Oceania,0
42.5,Panama,west,2.63,71.8,21,30388,81.3,8.6,9.8,76.4,North America,0
26.1,Paraguay,west,4.17,67.5,39,13454,85.7,6.5,9.4,72,South America,0
33.9,Peru,west,2.98,65.9,45,12985,51.2,5.5,17,70.9,South America,0
49,Philippines,other,3.62,66.6,35,9061,82.7,5,5.7,70.2,South-eastern Asia,0
51,Poland,west,1.65,66.7,13,35957,66.2,0.3,0.3,75.7,Eastern Europe,0
49.2,Portugal,west,1.48,71.8,8,36079,67,7.5,13,78.9,Southern Europe,0
35.1,Puerto Rico,west,2.1,72.5,9,12213,64,7.788,9.936,80.5,North America,0
27.5,Qatar,other,3.77,70,17,97262,93,20.8,20.1,75.4,Western Asia,0
41.9,Reunion,other,2.1,70.9,7,11854,62.6,21.912,20.304,79.8,Eastern Africa,0
57.4,Romania,west,1.4,66,24,32950,72.7,1.1,3.1,73.2,Eastern Europe,0
50.4,Russia,west,1.35,58,19,29485,68.1,0.3,0.6,71.5,Eastern Europe,0
48.5,Saint Lucia,west,3.82,68,18,13942,78.9,10.5,9.4,74.8,North America,0
40.2,Samoa,other,3.8,67.5,58,5260,77.3,1.848,1.656,71.1,Oceania,17
6.9,Saudi Arabia,other,5.9,69.9,23,48099,78.8,28.5,49.8,73.4,Western Asia,17
24.3,Senegal,other,5.62,50.3,62,3625,83.1,57,76.8,52.3,Western Africa,17
57,Seychelles,other,2.59,65.3,12,26119,78.8,15.18,15.12,74.1,Eastern Africa,17
76,Sierra Leone,other,6.06,36,169,1771,80,54.6,81.8,39.1,Western Africa,17
51.5,Singapore,other,1.79,75.1,5,102742,78.7,4.1,13.7,79.5,South-eastern Asia,0
51.4,Slovakia,west,1.5,67,12,34815,68.2,0.3,3.4,75.8,Eastern Europe,0
51.3,Slovenia,west,1.3,69.2,7,40820,64.5,0.264,0.432,77.8,Southern Europe,0
85,Solomon Islands,other,4.98,69.6,23,2483,87,16.3,31,73.9,Oceania,0
50.4,South Africa,other,3.81,62.3,48,12442,79.6,18.1,18.3,68.3,Southern Africa,0
48.7,South Korea,other,1.65,68.8,9,47027,76.1,0.7,3.3,76,Eastern Asia,0
37,Spain,west,1.22,74.5,7,41546,63.1,1.8,3.9,81.5,Southern Europe,0
35.5,Sri Lanka,other,2.1,70.9,15,13909,75.6,6.6,12.8,75.4,Southern Asia,0
25.9,Sudan,other,4.61,53.6,71,4082,74.6,42.3,65.4,56.4,Northern Africa,0
32.6,Suriname,west,2.39,69,24,14703,64.2,4.9,9,74,South America,0
27.7,Swaziland,other,4.46,57.7,65,3415,64.3,22,24.4,62.3,Southern Africa,0
75.6,Sweden,west,1.8,76.2,5,55566,80,1,1,80.8,Northern Europe,0
56.8,Switzerland,west,1.46,75.3,5,75880,78.5,1,1,81.8,Western Europe,0
60,Tajikistan,other,3.93,64.2,56,3856,75,0.3,0.4,70.2,Central Asia,0
65.2,Thailand,other,1.74,66.3,30,19004,83.8,4,8.4,72.3,South-eastern Asia,0
50.8,Togo,other,6.08,48.8,86,2261,77.5,33,63,51.5,Western Africa,0
45.4,Tonga,other,4.02,67,3,6156,74.2,0.264,0.504,71,Oceania,0
44.9,Trinidad and Tobago,west,2.1,71.5,14,25883,75.5,1.2,3,76.2,North America,0
20.3,Tunisia,other,2.92,68.4,37,10594,75.4,21.4,45.4,70.7,Northern Africa,0
30.6,Turkey,other,2.5,66.5,44,32278,75.9,8.3,27.6,71.7,Western Asia,0
62,Turkmenistan,other,3.58,61.2,57,17415,78,0.2,0.4,68,Central Asia,0
57.1,Ukraine,west,1.38,63.6,18,13943,69.1,0.33,2.16,74,Eastern Europe,0
24.2,United Arab.Emirates,other,3.46,73.9,15,43103,92.5,21.1,20.2,76.5,Western Asia,0
53.5,United Kingdom,west,1.72,74.5,6,47089,71.9,1,1,79.8,Northern Europe,0
59.3,United States,west,1.96,73.4,7,68309,74.9,2.244,2.232,80.1,Northern America,0
46.7,Uruguay,west,2.25,69.6,17,23474,74,3.1,2.3,76.1,South America,0
61,Uzbekistan,other,3.48,64.3,43,7830,75,0.2,0.4,70.7,Central Asia,0
79.3,Vanuatu,other,4.36,65.5,38,2646,88.6,34.914,46.368,69.5,Oceania,0
41.2,Venezuela,west,2.98,70,21,5178,82.1,8.2,9.7,75.7,South America,0
74.1,Vietnam,other,2.97,64.9,37,11677,81.6,3.5,8.8,69.6,South-eastern Asia,0
1.9,Yemen,other,7.6,57.4,80,1924,80.6,32.406,69.552,58.4,Western Asia,0
46.7,Zimbabwe,other,4.68,47.6,68,2698,77.7,9.6,20.1,49.4,Eastern Africa,0
