Timestamp,fav_alcohol,"On average (approx.) how many parties a month do you attend during the school year? Enter a whole number (0, 1, 2, 3, 4, ...)",smoke,weed,introvert_extrovert,love_first_sight,learning_style,left_right_brained,personality_type,social_media,num_insta_followers,streaming_platforms,expected_marriage_age,expected_starting_salary,fav_sport,minutes_ex_per_week,sleep_hours_per_day,how_happy,farthest_distance_travelled,fav_number,fav_letter,internet_hours_per_day,only_child,birthdate_odd_even,birth_month,fav_season,living_location_on_campus,major,num_majors_minors,high_school_GPA,NU_GPA,age,height,height_father,height_mother,school_year,procrastinator,num_clubs,student_athlete,AP_stats,used_python_before,dominant_hand,childhood_in_US,gender,region_of_residence,political_affliation,cant_change_math_ability,can_change_math_ability,math_is_genetic,much_effort_is_lack_of_talent
2022/09/13 1:43:34 pm GMT-5,I don't drink,1,No,Occasionally,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram;Snapchat;TikTok,1040,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,24,"80,000",Basketball,240,5,Pretty happy,"7,000",7,A,7,No,Odd,September,Fall,South campus,Math / Statistics / Computer Science,2,4.5/4,3.7/4,19,5'3,5'8,5'8,Sophomore,Yes,4,No,No,Yes,Right,Yes,Female,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/13 5:28:17 pm GMT-5,Hard liquor/Mixed drink,3,No,Occasionally,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Instagram;Twitter;Snapchat;TikTok,1100,"HBO Max;Disney+;Paramount Plus, Peacock",30,80000,Tennis,180,7,Very happy,7000,5,A,8,No,Odd,May,Fall,North campus,Humanities / Communications;Math / Statistics / Computer Science,2,NA,3.415,19,65,NA,60,Sophomore,Yes,2,No,Yes,Yes,Right,Yes,Male,West,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/13 7:56:38 pm GMT-5,Hard liquor/Mixed drink,3,No,Yes,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram;Snapchat;TikTok,700,Netflix,28,"110,000",Swimming,60,10,Pretty happy,8000,12,M,6,No,Odd,January,Summer,North campus,Physical Sciences / Natural Sciences / Engineering,3,NA,3.627,20,64,66,64,Sophomore,Yes,2,No,No,No,Right,No,Female,International,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/13 10:34:37 pm GMT-5,Hard liquor/Mixed drink,12,No,No,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram;Twitter;Snapchat;TikTok,2000,Netflix;Hulu;Disney+,29,100000,football,300,7,Pretty happy,6600,19,D,7,No,Odd,May,Summer,South campus,Math / Statistics / Computer Science,3,4.286/4.3,3.485,19,65,71,69,Sophomore,No,1,No,Yes,No,Right,Yes,Female,Southeast,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/14 4:46:19 pm GMT-5,I don't drink,1,No,No,Extrovert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,Facebook;Instagram;TikTok,500,Netflix;Amazon Prime;HBO Max,30,60000,Swimming,0,7,Pretty happy,"3,602",7,S,5,No,Even,May,Spring,Neither,Humanities / Communications;Math / Statistics / Computer Science,2,3.9,3.8,20,65,68,60,Junior,Yes,2,No,No,No,Right,Yes,Female,Northeast,Democrat,Agree,Disagree,Disagree,Disagree
2022/09/14 10:05:24 pm GMT-5,Hard liquor/Mixed drink,2,No,Occasionally,Extrovert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENFP,Facebook;Instagram;Twitter;Snapchat;TikTok,270,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,27,"75,000",Volleyball,360,7,Pretty happy,3603,2307,A,6,No,Odd,March,Fall,North campus,Social Sciences / Education;Math / Statistics / Computer Science,3,3.99,3,20,70,65,60,Junior,Yes,2,No,Yes,Yes,Right,Yes,Male,International,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/15 1:17:10 am GMT-5,Hard liquor/Mixed drink,2,No,Occasionally,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram;Twitter;Snapchat;TikTok,1557,Netflix;Hulu,26,80000,Swimming,60,7,Pretty happy,8338,69,k,8,No,Odd,February,Fall,Neither,Social Sciences / Education;Math / Statistics / Computer Science,3,4.3,3.8,20,69,67,64,Junior,Yes,4,No,Yes,Yes,Right,Yes,Male,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/15 2:37:56 am GMT-5,I don't drink,0,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram,500,None,28,"40,000",Figure skating,140,7,Very happy,2700,2,a,4,No,Even,January,Fall,North campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,4,4.34,3.9,20,65,NA,NA,Junior,Yes,7+,No,Yes,Yes,Right,Yes,Female,Midwest,Democrat,Agree,Disagree,Disagree,Disagree
2022/09/15 9:08:26 am GMT-5,I don't drink,1,No,No,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENTP,TikTok,100,Amazon Prime,30+,"130,000",Yoga,60,8,Pretty happy,6585,7,E,8,No,Odd,May,Spring,Neither,Social Sciences / Education;Math / Statistics / Computer Science,3,3.93,3.87,20,63,NA,NA,Junior,Yes,3,No,Yes,Yes,Right,No,Female,International,No affiliation,Agree,Disagree,Agree,Agree
2022/09/15 12:40:41 pm GMT-5,I don't drink,1,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,Facebook;Instagram,800,Netflix;Hulu;Amazon Prime,26,"90,000",swimming ,0,8,Not too happy,7548 miles,2,z,8,No,Odd,January,Summer,Neither,Math / Statistics / Computer Science,1,3.92,NA,20,60 in,NA,62,Junior,Yes,0,No,Yes,Yes,Right,No,Female,Midwest,Democrat,Disagree,Agree,Agree,Agree
2022/09/15 1:39:05 pm GMT-5,Wine,1,No,No,Introvert,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Facebook;Instagram,420,Amazon Prime,28,"36,000",I don't have one,150,7,Pretty happy,7700,17,A,4,No,Odd,February,Summer,South campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,3,4,3.9,20,64,NA,NA,Sophomore,No,3,No,No,Yes,Right,No,Female,International,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/15 5:33:44 pm GMT-5,Hard liquor/Mixed drink,1,No,No,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENFP,"Instagram;Snapchat;BeReal, Yik Yak",800,Netflix,30,55000,Rowing,60,7,Pretty happy,1200,420,Z,5,No,Even,April,Spring,North campus,Math / Statistics / Computer Science,2,3.8,3.3,21,69,68,NA,Senior,Yes,5,No,Yes,Yes,Right,No,Male,West,Independent,Disagree,Agree,Disagree,Disagree
2022/09/15 7:39:07 pm GMT-5,Hard liquor/Mixed drink,4,No,No,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Facebook;Instagram;Twitter;Snapchat,800,Netflix,30,"75,000",Dance,0,7,Pretty happy,9000,12,A,3,No,Odd,January,Fall,North campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,2,4.12,3.83,19,68,65,63,Sophomore,No,2,No,Yes,Yes,Right,No,Female,International,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/16 8:38:33 am GMT-5,I don't drink,1,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Snapchat,950,Netflix,30,"60,000",Badminton,6,8,Pretty happy,"8,614",7,N,3,Yes,Odd,April,Summer,South campus,Social Sciences / Education,3,4.58,3.975,19,63.8,70.5,63,Sophomore,No,2,No,No,Yes,Right,No,Female,International,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/16 9:11:17 am GMT-5,I don't drink,6,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTP,Snapchat;youtube,300,none,probably never,"60,000",don't have one,60+,7,Not too happy,"6,500",12,k,10,No,Odd,May,Fall,North campus,Math / Statistics / Computer Science,2,3.95,3.8,19,70,67,60,Sophomore,Yes,2,No,Yes,Yes,Right,Yes,Male,Midwest,No affiliation,Disagree,Agree,Disagree,Agree
2022/09/16 10:20:05 am GMT-5,Hard liquor/Mixed drink,2,No,No,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Snapchat,501,Netflix;Amazon Prime,30,"100,000",Volleyball,300,8,Pretty happy,4200,45,T,6,No,Even,October,Fall,Neither,Math / Statistics / Computer Science,3,3.9,3.86,20,76,74,68,Junior,Yes,2,No,No,Yes,Right,Yes,Male,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/16 12:42:16 pm GMT-5,Hard liquor/Mixed drink,10,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFP,Facebook;Instagram;Twitter;Snapchat;TikTok,1100,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,25,"60,000",football,90,7,Pretty happy,4694 miles,16,C,5,No,Even,January,Spring,North campus,Humanities / Communications;Physical Sciences / Natural Sciences / Engineering,3,4.5,3.8,20,64,68,62,Junior,Yes,3,No,Yes,No,Right,Yes,Female,Southeast,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/16 6:23:28 pm GMT-5,I don't drink,1,No,No,Introvert,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,Instagram,1500,Hulu;HBO Max,25,"80,000",basketball,100,8,Very happy,7000 miles,7,L,15 / day,No,Even,July,Fall,Neither,Humanities / Communications;Social Sciences / Education,4,NA,3.87,20,64.6,69,63,Junior,No,3,No,No,Yes,Right,No,Female,International,No affiliation,Disagree,Disagree,Disagree,Disagree
2022/09/16 6:31:05 pm GMT-5,I don't drink,5,No,No,Extrovert,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ESTP,Instagram;TikTok,1100,Netflix;Disney+,30,80000,Football,250,6,Pretty happy,3000,26,P,5,No,Even,February,Winter,South campus,Social Sciences / Education,2,NA,NA,20,70,67,67,Junior,Yes,2,No,Yes,No,Right,Yes,Male,Northeast,No affiliation,Agree,Disagree,Disagree,Agree
2022/09/16 8:54:07 pm GMT-5,Wine,1,Occasionally,No,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Facebook;Instagram,400,Netflix,28,160000,MMA,240,6,Pretty happy,8206,6,T,6,Yes,Odd,January,Fall,North campus,Social Sciences / Education;Physical Sciences / Natural Sciences / Engineering,3,3.9,3.8,19,71,66,63,Sophomore,Yes,4,No,No,Yes,Left,No,Male,International,No affiliation,Disagree,Agree,Disagree,Agree
2022/09/16 11:38:35 pm GMT-5,I don't drink,1,No,No,Introvert,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",INTP,Instagram,450,Netflix;HBO Max,30+ ,50000,Cycling ,300,7,Not too happy,6583,7,X,10,No,Odd,September,Spring,South campus,Humanities / Communications;Math / Statistics / Computer Science,2,NA,3.94,20,63.78,NA,NA,Sophomore,Yes,1,No,No,Yes,Right,No,Female,International,No affiliation,Agree,Disagree,Agree,Disagree
2022/09/17 10:03:44 am GMT-5,Hard liquor/Mixed drink,1,No,Occasionally,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Instagram;Twitter;Snapchat;TikTok,1000,Netflix;Hulu,30,55000,Basketball,630,7,Pretty happy,2000,44,K,5,No,Odd,October,Fall,Neither,Humanities / Communications,2,4,3.8,19,63,67,61,Junior,Yes,2,No,Yes,Yes,Right,Yes,Female,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/17 10:23:33 am GMT-5,Wine,6,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Snapchat;TikTok,900,Netflix;Amazon Prime;HBO Max;Disney+,25,"50,000",gymnastics,420,8,Pretty happy,3324,11,d,4,No,Even,February,Fall,Neither,Physical Sciences / Natural Sciences / Engineering,2,4.34,4,19,62,72,61,Junior,No,1,No,No,Yes,Right,Yes,Female,Northeast,Democrat,Agree,Disagree,Agree,Disagree
2022/09/17 10:32:59 am GMT-5,Hard liquor/Mixed drink,1,No,Occasionally,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISTP,Instagram;Snapchat;TikTok,368,Netflix;Disney+,28,"100,000",pool,50,7,Don't know,8200,4,T,3,No,Even,February,Winter,North campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,2,3.93,NA,19,69,65,64,Sophomore,Yes,2,No,No,Yes,Right,Yes,Male,Northeast,No affiliation,Disagree,Agree,Agree,Agree
2022/09/17 12:54:47 pm GMT-5,Hard liquor/Mixed drink,4,No,Occasionally,Extrovert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ESFP,Facebook;Instagram;Snapchat;TikTok,700,Netflix;Disney+,28,75000,Badminton,0,7,Not too happy,8374,24,A,6,No,Odd,November,Winter,South campus,Social Sciences / Education,2,5,3.6,21,65,67,64,Senior,Yes,2,No,Yes,Yes,Right,Yes,Female,Midwest,Democrat,Agree,Disagree,Disagree,Agree
2022/09/17 2:46:16 pm GMT-5,I don't drink,5,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram;Snapchat,1100,Netflix;HBO Max;Disney+,25,"60,000",Rowing,60,8,Pretty happy,1050,12,M,4,No,Even,September,Fall,South campus,Social Sciences / Education;Math / Statistics / Computer Science,3,3.64,3.62,19,67,71,64,Junior,No,4,No,No,Yes,Right,Yes,Female,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/17 3:49:17 pm GMT-5,Hard liquor/Mixed drink,2,Yes,No,Extrovert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENFJ,Instagram,"1,000",Netflix,25,"90,000",Skiing,240,8,Very happy,"6,824",8,W,6,No,Even,August,Spring,Neither,Math / Statistics / Computer Science,2,3.95,3.78,20,66,69,67,Junior,Yes,3,No,No,Yes,Right,Yes,Female,West,Republican,Disagree,Agree,Disagree,Disagree
2022/09/17 6:28:37 pm GMT-5,Beer,6,No,Occasionally,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFP,Instagram;Twitter,800,Netflix;Amazon Prime,27,"160,000",Football,300,8,Not too happy,8400,7,T,6,No,Odd,November,Spring,Neither,Social Sciences / Education;Math / Statistics / Computer Science,3,4.4,3.8,19,65,70,59,Junior,No,2,No,No,No,Right,Yes,Male,West,Independent,Disagree,Disagree,Disagree,Agree
2022/09/17 9:35:58 pm GMT-5,I don't drink,0,No,No,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Facebook;Instagram,350,Netflix;Disney+,28,"130,000",My bed:),180,8,Pretty happy,7300,7,z,4,No,Even,July,Fall,South campus,Social Sciences / Education;Math / Statistics / Computer Science,3,NA,4,20,65,69,63,Junior,No,2,No,No,Yes,Right,No,Female,West,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/18 8:49:10 am GMT-5,I don't drink,2,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFP,Instagram;Twitter,930,HBO Max;Disney+,30,"100,000",Boxing,420,7,Pretty happy,7763,3,A,1,No,Odd,April,Fall,South campus,Math / Statistics / Computer Science,2,3.99,3.91,19,72,71,60,Sophomore,No,0,No,Yes,Yes,Right,Yes,Male,Southwest,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/18 9:41:25 am GMT-5,Beer,1,No,No,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENFJ,Instagram,1200,Netflix;Amazon Prime,30,"60,000 (hopefully)",dance,90,6,Not too happy,"7,447 mi ",9,J,3,No,Odd,January,Summer,South campus,Humanities / Communications;Math / Statistics / Computer Science,3,4.3/4.5,4,20,61,NA.,65,Sophomore,No,4,No,No,Yes,Right,No,Female,International,No affiliation,Agree,Disagree,Agree,Disagree
2022/09/18 10:31:04 am GMT-5,Hard liquor/Mixed drink,2,No,No,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENFP,Instagram;Twitter,260,"Netflix;Hulu;Amazon Prime;HBO Max;Disney+;Shudder, Apple TV+",35,"70,000",Cricket,8,6,Pretty happy,7500,47,k,5,Yes,Even,July,Fall,Neither,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,3,3.8,3.4,21,70,65,60,Senior,Yes,7+,No,Yes,Yes,Right,No,Male,International,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/18 12:55:12 pm GMT-5,Hard liquor/Mixed drink,1,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTP,Instagram;Twitter;TikTok,300,Netflix;Amazon Prime;HBO Max;Disney+,26,"100,000",Soccer,180,6,Pretty happy,8050,3,A,4,No,Even,March,Fall,South campus,Social Sciences / Education;Math / Statistics / Computer Science,2,NA,3.87,19,62.5,70,63.5,Sophomore,Yes,2,No,No,No,Right,No,Female,International,Democrat,Disagree,Disagree,Disagree,Agree
2022/09/18 2:03:36 pm GMT-5,Hard liquor/Mixed drink,6,No,Yes,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram;Snapchat;TikTok,"1,100",Netflix;Hulu;Amazon Prime;HBO Max;Disney+,28,"150,000",Softball,15,8,Pretty happy,"8,000",10,K?,5,No,Even,June,Fall,Neither,Social Sciences / Education,2,4.3,3.93,20,67,66,66,Junior,No,3,No,No,Yes,Left,Yes,Female,West,Democrat,Disagree,Agree,Disagree,Agree
2022/09/18 2:03:44 pm GMT-5,I don't drink,0,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",INFJ,Snapchat,300,Netflix;Hulu;Amazon Prime,27,"70,000",Basketball,8 hours,8,Pretty happy,2405 miles,22,J,3 hours,No,Even,January,Spring,North campus,Math / Statistics / Computer Science,2,4.08,4.1,19,72,68,65,Sophomore,Yes,2,No,No,Yes,Right,Yes,Male,Midwest,Republican,Agree,Agree,Disagree,Agree
2022/09/18 5:30:03 pm GMT-5,I don't drink,2,No,No,Introvert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Twitter;Snapchat;TikTok,700,Hulu;Amazon Prime,27,"100,000",Football,150,7,Pretty happy,7900,22,S,5,No,Even,February,Fall,Neither,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,3,NA,3.65,20,74,73,67,Junior,Yes,3,No,Yes,Yes,Right,Yes,Male,Northeast,No affiliation,Disagree,Disagree,Agree,Agree
2022/09/18 9:08:01 pm GMT-5,Hard liquor/Mixed drink,1,No,Occasionally,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram;Snapchat,700,Netflix;Hulu,30,"70,000",tennis,180,6,Pretty happy,"8,520 mi",8,S,2,No,Even,August,Winter,South campus,Social Sciences / Education,3,NA,3.8,21,65,71,64,Senior,Yes,3,No,Yes,Yes,Right,Yes,Female,Southeast,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/18 9:32:14 pm GMT-5,Hard liquor/Mixed drink,4,No,No,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Instagram,1636,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,25,"75,000",Volleyball,240,7,Pretty happy,"1,272",10,R,3,No,Even,May,Fall,South campus,Math / Statistics / Computer Science,3,4.98,NA,19,5’8,5’9,5’7,Sophomore,Yes,6,No,Yes,Yes,Right,No,Female,Southwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/18 9:41:16 pm GMT-5,I don't drink,0,No,No,Introvert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,Facebook;Instagram,850,Netflix,30,"70,000",Formula One,60,8,Pretty happy,8700,2,c,4,No,Odd,January,Fall,South campus,Math / Statistics / Computer Science,2,NA,3.9,20,65,70,61,Junior,Yes,2,No,No,Yes,Left,No,Female,International,No affiliation,Agree,Disagree,Disagree,Disagree
2022/09/18 10:24:50 pm GMT-5,Hard liquor/Mixed drink,5,No,No,Introvert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Twitter;Snapchat;TikTok,1147,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,26,110000,Baseball,1200,7,Not too happy,4189,31,C,6,Yes,Odd,January,Fall,North campus,Math / Statistics / Computer Science,2,6.6,3.7,19,80,79,64,Sophomore,Yes,1,Yes,Yes,Yes,Right,Yes,Male,Midwest,Democrat,Disagree,Agree,Disagree,Agree
2022/09/19 12:11:40 am GMT-5,Hard liquor/Mixed drink,7,No,No,Introvert,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",Unknown,Instagram;TikTok,1150,Netflix;Hulu,32,"85,000",Volleyball,210,7,Pretty happy,5935,7,Z,7.5,No,Even,January,Fall,South campus,Math / Statistics / Computer Science,2,4,3.855,19,64,74,62,Sophomore,Yes,1,No,No,No,Right,Yes,Female,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/19 11:36:04 am GMT-5,Beer,6,No,Yes,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Twitter;Snapchat;TikTok,900,Netflix;Hulu;HBO Max;Disney+,27,"100,000",Basketball,360,8,Pretty happy,4500,4,J,8,No,Even,October,Winter,North campus,Math / Statistics / Computer Science,1,3.8,3.8,19,66,69,62,Sophomore,No,1,No,Yes,Yes,Right,Yes,Male,Midwest,No affiliation,Agree,Disagree,Agree,Disagree
2022/09/19 11:42:44 am GMT-5,Beer,6,Occasionally,Occasionally,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Facebook;Instagram;Snapchat,1400,Netflix;Hulu;Amazon Prime,26,"200,000",Swimming,720,9,Pretty happy,4300,7,T,4,No,Even,October,Winter,North campus,Math / Statistics / Computer Science,4,4.8,3.9,19,79,72,68,Sophomore,No,4,No,No,Yes,Right,Yes,Male,West,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/19 12:01:27 pm GMT-5,Wine,9,No,Occasionally,Extrovert,No,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,Instagram;Snapchat;TikTok,2587,Netflix;Hulu;Amazon Prime,27,100000,Hockey,240,7,Pretty happy,708,3,E,4,No,Odd,April,Fall,South campus,Humanities / Communications;Social Sciences / Education,3,3.97,3.81,19,62,70,64,Sophomore,No,3,No,No,Yes,Both,Yes,Female,Southeast,Independent,Agree,Disagree,Disagree,Agree
2022/09/19 12:17:36 pm GMT-5,Hard liquor/Mixed drink,8,No,Occasionally,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Instagram;Snapchat;TikTok,1400,Netflix;Amazon Prime,26,"100,000",Hockey,360,8,Pretty happy,4800,19,K,8,No,Odd,February,Fall,North campus,Social Sciences / Education,2,4.97,3.78,19,76,73,63,Sophomore,Yes,3,No,Yes,Yes,Right,Yes,Male,Midwest,Independent,Agree,Disagree,Disagree,Disagree
2022/09/19 1:14:52 pm GMT-5,Beer,2,No,No,Introvert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Snapchat,425,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,28,"75,000",soccer,240,8,Very happy,2130,3,C,5,No,Odd,August,Spring,North campus,Humanities / Communications;Math / Statistics / Computer Science,2,NA,3.75,19,69,68,64,Sophomore,No,2,No,No,Yes,Right,Yes,Male,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
