Timestamp,fav_alcohol,"On average (approx.) how many parties a month do you attend during the school year? Enter a whole number (0, 1, 2, 3, 4, ...)",smoke,weed,introvert_extrovert,love_first_sight,learning_style,left_right_brained,personality_type,social_media,num_insta_followers,streaming_platforms,expected_marriage_age,expected_starting_salary,fav_sport,minutes_ex_per_week,sleep_hours_per_day,how_happy,farthest_distance_travelled,fav_number,fav_letter,internet_hours_per_day,only_child,birthdate_odd_even,birth_month,fav_season,living_location_on_campus,major,num_majors_minors,high_school_GPA,NU_GPA,age,height,height_father,height_mother,school_year,procrastinator,num_clubs,student_athlete,AP_stats,used_python_before,dominant_hand,childhood_in_US,gender,region_of_residence,political_affliation,cant_change_math_ability,can_change_math_ability,math_is_genetic,much_effort_is_lack_of_talent
2022/09/19 1:38:18 pm GMT-5,Hard liquor/Mixed drink,6,No,Yes,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Twitter,N/A,Netflix;Amazon Prime;HBO Max,37,"50,000",Golf,250,8,Pretty happy,"8,000",69,P,8,No,Odd,November,Fall,North campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,2,3.7,3.28,20,66,64,63,Junior,Yes,3,No,No,Yes,Right,Yes,Male,Midwest,Independent,Disagree,Agree,Disagree,Disagree
2022/09/19 1:38:42 pm GMT-5,Wine,6,No,Occasionally,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Facebook;Instagram;Snapchat,2000,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,28,80000,Soccer,180,7,Not too happy,4500,8,T,6,No,Even,January,Fall,South campus,Humanities / Communications;Math / Statistics / Computer Science,3,4.7,3.8,20,64,70,64,Junior,Yes,4,No,No,Yes,Right,Yes,Female,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/19 2:26:30 pm GMT-5,Hard liquor/Mixed drink,10,No,No,Introvert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFP,Instagram;TikTok,750,Netflix;Hulu;Amazon Prime,28,60000,Badminton,600,8,Not too happy,7500,5,m,5,No,Odd,March,Winter,Neither,Physical Sciences / Natural Sciences / Engineering,2,3.9,3.3,20,63,70,64,Junior,Yes,2,No,Yes,Yes,Right,Yes,Female,Midwest,Democrat,Disagree,Agree,Disagree,Agree
2022/09/19 2:32:26 pm GMT-5,I don't drink,12,No,Occasionally,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFP,Instagram;Snapchat;TikTok,1500,Netflix;Hulu;HBO Max,28,"100,000",Volleyball,120,7,Pretty happy,7403,7,A,7,No,Even,July,Fall,North campus,Social Sciences / Education;Math / Statistics / Computer Science,3,3.7,3.82,19,66,70,62,Sophomore,Yes,4,No,Yes,No,Right,Yes,Female,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/19 2:38:15 pm GMT-5,I don't drink,0,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Snapchat,858,Netflix,35,"75,000",Football (American),"60 minutes of deliberate exercise, but I also walk to classes which is exercise so like 200 minutes?",8,Don't know,2600,3,W,5,No,Even,July,Fall,North campus,Social Sciences / Education;Math / Statistics / Computer Science,4,5.35 (on a 5.0 scale),3.83,21,75,75,68,Junior,No,2,No,No,Yes,Right,Yes,Male,Midwest,Democrat,Disagree,Agree,Disagree,Agree
2022/09/19 2:39:04 pm GMT-5,Hard liquor/Mixed drink,6,No,Occasionally,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Snapchat,1600,Netflix,28,"110,000",baseball,360,7,Pretty happy,7620,16,C,4,No,Even,January,Winter,Neither,Math / Statistics / Computer Science,2,4.625,3.86,20,64,67,60,Junior,No,5,No,No,Yes,Right,Yes,Female,Midwest,Democrat,Disagree,Disagree,Disagree,Disagree
2022/09/19 4:32:32 pm GMT-5,Hard liquor/Mixed drink,6,No,Occasionally,Extrovert,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Instagram;Snapchat;TikTok,1270,Netflix;Hulu;Amazon Prime;HBO Max,27,"100,000",Tennis,120,7,Pretty happy,"7,672",21,A,5,No,Odd,September,Summer,South campus,Math / Statistics / Computer Science,2,3.96,NA,20,66,69,65,Sophomore,Yes,3,No,No,Yes,Right,Yes,Female,West,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/19 4:43:47 pm GMT-5,Hard liquor/Mixed drink,55,No,Yes,Extrovert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Facebook;Instagram;Twitter;Snapchat;TikTok,1311,Netflix;Hulu;Amazon Prime;HBO Max,28,"100,000",Skiing,20,6,Pretty happy,"3,829",7,A,4,No,Odd,February,Summer,Neither,Social Sciences / Education;Math / Statistics / Computer Science,2,97,3.6,20,64,71,59,Junior,No,2,No,Yes,Yes,Right,Yes,Female,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/19 4:45:46 pm GMT-5,I don't drink,3,No,Occasionally,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",Unknown,Instagram;Twitter;Snapchat;TikTok,700,Netflix;Amazon Prime,26,65000,Basketball,250,7,Pretty happy,7344 miles,11,H,3,No,Even,September,Fall,North campus,Social Sciences / Education;Math / Statistics / Computer Science,2,3.9,3.6,18,69,63,63,Sophomore,Yes,3,No,Yes,Yes,Right,Yes,Male,Southeast,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/19 5:21:39 pm GMT-5,Hard liquor/Mixed drink,2,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram;Twitter,630,Netflix,28,40000,Tennis,60,7,Don't know,10500,8,H,5,Yes,Even,January,Fall,Neither,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,2,NA,3.966,21,60,65,60,Senior,No,1,No,No,No,Right,Yes,Female,Northeast,Democrat,Disagree,Disagree,Disagree,Disagree
2022/09/19 5:40:32 pm GMT-5,I don't drink,0,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISFP,Facebook;Instagram;Snapchat,740,Disney+,26,"50,000",Basketball,420,7,Pretty happy,6526,22,A,4,No,Even,September,Fall,North campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,2,3.97,3.64,20,72,67,70,Junior,Yes,3,No,No,Yes,Right,Yes,Male,Midwest,Republican,Disagree,Agree,Disagree,Disagree
2022/09/19 6:25:47 pm GMT-5,Wine,1,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram,600,Netflix;Amazon Prime;HBO Max,30,"50,000",soccer,420,7,Don't know,9589,7,A,5,No,Odd,August,Summer,Neither,Physical Sciences / Natural Sciences / Engineering,2,4,3.1,22,69,67,62,Senior,No,1,No,No,Yes,Right,No,Male,International,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/19 6:25:48 pm GMT-5,Hard liquor/Mixed drink,2,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",Unknown,Facebook;Instagram;Twitter;Snapchat;TikTok,1000,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,27,"80,000",tennis,150,7,Pretty happy,7400,6,A,6,Yes,Odd,May,Summer,Neither,Social Sciences / Education,2,4,3.5,21,62,70,62,Senior,Yes,1,No,No,Yes,Right,No,Female,International,Republican,Disagree,Agree,Agree,Disagree
2022/09/19 6:31:20 pm GMT-5,Beer,3,No,No,Introvert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Facebook;Instagram;Twitter;Snapchat,300,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,30,110000,Basketball,350,8,Very happy,6100,20,J,3,No,Even,August,Summer,Neither,Social Sciences / Education;Math / Statistics / Computer Science,2,3.96,3.89,21,65,68,60,Senior,No,0,No,Yes,No,Right,Yes,Male,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/19 6:32:22 pm GMT-5,Beer,5,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram;Twitter;Snapchat,300,"Netflix;Hulu;Amazon Prime;HBO Max;Disney+;Peacock, Paramount+",28,100000,football,180,6,Pretty happy,4725,64,B,2,No,Odd,September,Fall,Neither,Math / Statistics / Computer Science,2,4,3.97,22,69,67,66,Senior,Yes,3,No,Yes,Yes,Left,Yes,Male,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/19 6:36:15 pm GMT-5,I don't drink,5,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Instagram,1000,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,25,"200,000",tennis,14,6,Pretty happy,3000,7,N,15,No,Odd,October,Winter,Neither,Math / Statistics / Computer Science,2,3.5,3.77,19,72,68,64,Junior,Yes,1,No,Yes,No,Right,Yes,Male,Midwest,No affiliation,Disagree,Agree,Disagree,Agree
2022/09/19 8:09:52 pm GMT-5,I don't drink,0,No,No,Extrovert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram,400,Amazon Prime,26,"60,000",soccer,60,8,Very happy,6585,42,z,5,Yes,Even,June,Summer,South campus,Social Sciences / Education;Math / Statistics / Computer Science,4,4,4,19,67,72,66,Sophomore,No,2,No,Yes,Yes,Right,No,Female,International,No affiliation,Agree,Disagree,Agree,Disagree
2022/09/19 8:45:13 pm GMT-5,Beer,6,No,No,Extrovert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENFJ,Instagram;Twitter;Snapchat;TikTok,1000,Netflix;HBO Max,28,"60,000",basketball,450 minutes,7,Very happy,6243,19,M,2,No,Odd,May,Summer,North campus,Humanities / Communications;Social Sciences / Education,3,4,3.9,19,6'0,6'0,5'7,Sophomore,No,3,No,No,No,Right,Yes,Male,West,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/19 9:08:05 pm GMT-5,Hard liquor/Mixed drink,1,No,No,Introvert,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Facebook;Instagram;Snapchat,700,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,35,"50,000",figure skating,180,6,Not too happy,6000,2,s,4,No,Odd,August,Fall,South campus,Math / Statistics / Computer Science;theater,3,NA,3.933,20,64,70,64,Sophomore,No,3,No,Yes,Yes,Right,Yes,Female,Northeast,Independent,Disagree,Agree,Disagree,Disagree
2022/09/19 9:33:20 pm GMT-5,Beer,4,No,Yes,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Snapchat,1000,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,29,"50,000",Ultimate Frisbee,300,8,Pretty happy,4281,2,B,6,No,Even,October,Fall,Neither,Humanities / Communications;Math / Statistics / Computer Science,3,3.7,3.7,19,74,79,66,Junior,Yes,2,No,No,Yes,Right,Yes,Male,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/19 10:44:50 pm GMT-5,I don't drink,0,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ISFP,Facebook;Instagram;Snapchat,250,Netflix,27,"70,000",volleyball,1 hr,6,Pretty happy,7740,5,A,6,No,Odd,August,Fall,South campus,Math / Statistics / Computer Science,3,4,3.7,21,62,67,65,Junior,Yes,3,No,No,Yes,Right,Yes,Female,Northeast,Democrat,Agree,Disagree,Disagree,Agree
2022/09/19 11:28:08 pm GMT-5,Hard liquor/Mixed drink,25,No,No,Extrovert,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENFP,Facebook;Instagram;Snapchat;TikTok,1330,Netflix;Amazon Prime;HBO Max,27,"125,000",Golf,180,7,Very happy,9748,27,A,5,No,Even,October,Fall,South campus,Social Sciences / Education,2,4.3,3.6,19,66,70,65,Junior,Yes,4,No,Yes,Yes,Left,Yes,Female,Southwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/19 11:49:51 pm GMT-5,Beer,60,Yes,Yes,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENTP,Facebook;Instagram;Twitter,1300,Netflix,30,50000,windsurfing,7,7,Very happy,6093,7,l,12,No,Even,July,Spring,Neither,Physical Sciences / Natural Sciences / Engineering,3,4,3.8,21,68,72,70,Senior,No,3,No,No,Yes,Right,No,Female,International,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/20 12:59:47 am GMT-5,Wine,10,No,Yes,Extrovert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Instagram;Snapchat;TikTok,1200,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,24,95000,Swimming,180,7,Pretty happy,4700,11,J,8,Yes,Even,February,Fall,North campus,Math / Statistics / Computer Science,2,4.6,3.25,19,73,69,65,Sophomore,Yes,1,No,Yes,No,Left,Yes,Male,Midwest,Republican,Agree,Agree,Disagree,Disagree
2022/09/20 2:38:23 am GMT-5,I don't drink,0,No,No,Extrovert,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENFJ,Facebook;Instagram;Snapchat,755,Netflix,25,80000,Soccer,300,6,Pretty happy,8,3,M,7,No,Even,February,Summer,Neither,Physical Sciences / Natural Sciences / Engineering,2,3.93,3.285,21,73,68,68,Senior,Yes,2,No,Yes,Yes,Right,Yes,Male,Midwest,Independent,Agree,Agree,Disagree,Disagree
2022/09/20 6:32:57 am GMT-5,Hard liquor/Mixed drink,2,Occasionally,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Facebook;Instagram;Twitter;Snapchat;TikTok,780,Netflix;Amazon Prime;HBO Max,29,"99,000",Basketball,70,7,Pretty happy,7953,20,R,6,No,Even,October,Summer,South campus,Math / Statistics / Computer Science,2,3.7,3.7,20,72.83,70,64.96,Junior,No,2,No,Yes,Yes,Right,Yes,Male,International,No affiliation,Agree,Disagree,Disagree,Disagree
2022/09/20 9:52:40 am GMT-5,Hard liquor/Mixed drink,8,No,Yes,Extrovert,No,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",ESFP,Instagram;Snapchat;TikTok,2100,Netflix;Hulu;Amazon Prime;HBO Max,27,"70,000",Basketball,40,6,Very happy,Maldives ,8,G,4,No,Even,April,Spring,Neither,Humanities / Communications,2,NA,3.5,20,65,70,63,Junior,Yes,1,No,No,Yes,Right,Yes,Female,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/20 9:56:27 am GMT-5,Hard liquor/Mixed drink,2,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INTP,Facebook;Instagram;Snapchat,2000,Netflix,33,"90,000",Volleyball,300,5,Don't know,"8,740",6,S,7,No,Even,June,Summer,South campus,Social Sciences / Education;Math / Statistics / Computer Science,2,4,3.72,19,5'7,5'7,5'1,Sophomore,Yes,3,No,Yes,Yes,Right,No,Male,International,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/20 10:29:16 am GMT-5,Beer,10,No,Yes,Introvert,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",INFJ,Twitter;TikTok,450,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,30,"50,000",Basketball,60,7,Pretty happy,"9,500",23,M,6,No,Odd,February,Fall,Neither,Social Sciences / Education,2,3.93,3.65,21,66,75,60,Senior,Yes,2,No,Yes,Yes,Left,Yes,Other,Northeast,Independent,Agree,Disagree,Disagree,Disagree
2022/09/20 10:39:01 am GMT-5,Hard liquor/Mixed drink,15,No,Yes,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENFP,Instagram;Twitter;Snapchat,1200,Netflix;Hulu;Amazon Prime;HBO Max,30,"75,000?",Tennis,180,8,Pretty happy,"8,000",8,B,4,No,Even,October,Fall,North campus,Math / Statistics / Computer Science,2,NA,3.877,19,65,68,62,Sophomore,No,1,No,No,Yes,Left,Yes,Female,Midwest,Democrat,Disagree,Disagree,Agree,Agree
2022/09/20 11:05:52 am GMT-5,I don't drink,1,No,No,Extrovert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram;Snapchat,"1,200",Netflix;Disney+,25,"75,000",Volleyball,225,6,Very happy,"4,407.70",25,S,4,No,Odd,November,Summer,South campus,Humanities / Communications;Social Sciences / Education,3,4,3.663,19,66,67,62,Sophomore,Yes,5,No,Yes,Yes,Right,Yes,Female,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/20 11:37:14 am GMT-5,Beer,0,No,No,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,Instagram,800,Amazon Prime;Disney+,26,36000,Badminton,90,8,Pretty happy,11000,7,k,6,No,Even,August,Summer,Neither,Social Sciences / Education;Math / Statistics / Computer Science,3,4.16,3.72,20,63,67,63,Sophomore,No,3,No,Yes,No,Right,No,Female,International,No affiliation,Agree,Disagree,Agree,Disagree
2022/09/20 11:55:40 am GMT-5,I don't drink,0,No,No,Introvert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Facebook;Instagram,500,Netflix;Amazon Prime,30,"45,000",Taekwondo ,300,8,Pretty happy,6000,4,P,2,No,Odd,April,Spring,North campus,Physical Sciences / Natural Sciences / Engineering,3,4,3.96,20,78,83,80,Junior,No,7+,No,Yes,Yes,Right,Yes,Female,West,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/20 12:09:55 pm GMT-5,Wine,2,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",INFJ,Instagram;Snapchat;TikTok,2000,Netflix;Amazon Prime;HBO Max;Disney+,32,"60,000",Pickleball,Low,7,Don't know,"8,864",9,t,5,No,Even,September,Spring,South campus,Engineering,2,4.2,3.9,19,68,69,65,Sophomore,Yes,3,No,Yes,No,Right,Yes,Female,Southwest,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/20 12:19:51 pm GMT-5,Hard liquor/Mixed drink,4,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENFJ,Facebook;Instagram;Snapchat,1500,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,26,55000,Dance!,240,7,Pretty happy,3663,4,o,4,No,Even,October,Fall,North campus,Humanities / Communications;Physical Sciences / Natural Sciences / Engineering,3,NA,4.83,21,64,70,67,Senior,No,3,No,No,Yes,Left,Yes,Female,West,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/20 12:34:41 pm GMT-5,Hard liquor/Mixed drink,3,No,Yes,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Facebook;Instagram;Twitter;Snapchat,1600,Netflix;Hulu;Amazon Prime;HBO Max,30,"90,000",Basketball,200,7,Pretty happy,6887,26,A,5,No,Even,June,Fall,Neither,Math / Statistics / Computer Science,2,4,3.82,20,62,63,63,Junior,No,3,No,No,Yes,Right,Yes,Female,West,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/20 1:28:10 pm GMT-5,Hard liquor/Mixed drink,1,Occasionally,Yes,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram;Snapchat;TikTok,900,Netflix;Hulu;Amazon Prime;HBO Max,30,"90,000",judo,60,7,Pretty happy,3461,3,B,2,No,Odd,March,Spring,Neither,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,2,NA,3.62,20,65,69,67,Junior,Yes,3,No,No,Yes,Right,No,Female,International,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/20 1:40:03 pm GMT-5,I don't drink,0,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram;Twitter,500,"ESPN+, Peacock, Paramount+",I won't,"40,000",Soccer,200,8,Very happy,4600,44,J,12,Yes,Even,August,Fall,South campus,Humanities / Communications;Math / Statistics / Computer Science,3,5.91,3.82,19,70,74,66,Sophomore,No,1,No,No,Yes,Right,Yes,Male,Southeast,Republican,Disagree,Agree,Disagree,Agree
2022/09/20 1:44:50 pm GMT-5,Beer,3,No,No,Introvert,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTP,Instagram;Snapchat,1600,Netflix,25,"100,000",Volleyball ,360,7,Pretty happy,6300,7,O,4,No,Odd,July,Summer,Neither,Math / Statistics / Computer Science,2,4.71,3.86,20,76,74,62,Junior,Yes,4,No,No,Yes,Right,Yes,Male,West,Independent,Disagree,Agree,Disagree,Disagree
2022/09/20 1:45:52 pm GMT-5,Beer,7,Occasionally,No,Extrovert,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Instagram;Snapchat;TikTok,1.1k,Netflix;Hulu;Amazon Prime;Disney+,27,"110,000",Badminton,3,8,Pretty happy,"5,811",5,m,75,Yes,Odd,July,Summer,South campus,Social Sciences / Education;Math / Statistics / Computer Science,3,NA,3.4,20,64,74,61,Sophomore,Yes,4,No,No,No,Right,No,Female,International,Democrat,Disagree,Agree,Disagree,Disagree
2022/09/20 1:50:28 pm GMT-5,I don't drink,0,No,No,Introvert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram,128,None,27,"100,000",Figure Skating,200,7,Pretty happy,"7,156",313,H,2,No,Odd,April,Spring,Neither,Humanities / Communications;Social Sciences / Education;Physical Sciences / Natural Sciences / Engineering,2,NA,4,26,64,69,64,Other,No,1,No,No,Yes,Right,Yes,Female,Midwest,No affiliation,Disagree,Agree,Disagree,Disagree
2022/09/20 2:04:17 pm GMT-5,Wine,10,No,Yes,Extrovert,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFP,Instagram;Snapchat;TikTok,1600,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,25,"100,000",Basketball,300,8,Pretty happy,7600,10,Z,9,No,Even,December,Summer,Neither,Math / Statistics / Computer Science,2,3.6,3.8,20,60,58,54,Junior,Yes,2,No,No,Yes,Right,Yes,Male,Northeast,Democrat,Agree,Disagree,Agree,Disagree
2022/09/20 2:12:16 pm GMT-5,Beer,1,No,No,Introvert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTP,Instagram,500,Netflix;Amazon Prime;Disney+,27,"90,000",Basketball,90,8,Pretty happy,7052,23,A,4,Yes,Odd,March,Winter,South campus,Social Sciences / Education;Math / Statistics / Computer Science,3,NA,3.99,21,72,71,NA,Senior,Yes,2,No,Yes,Yes,Right,No,Male,International,No affiliation,Disagree,Agree,Disagree,Agree
2022/09/20 2:12:54 pm GMT-5,Beer,3,No,No,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Instagram;TikTok,1794,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,27,100000,Volleyball ,60,8,Very happy,9359,16,K,3,No,Even,March,Spring,South campus,Math / Statistics / Computer Science,1,3.98,3.97,19,66,71,62,Sophomore,No,3,No,Yes,Yes,Right,Yes,Female,Midwest,Democrat,Disagree,Agree,Agree,Disagree
2022/09/20 2:35:59 pm GMT-5,I don't drink,0,No,No,Extrovert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Instagram,600,Youtube,32,65000,Swimming,180,8,Pretty happy,7384,16,S,3,Yes,Odd,December,Summer,Neither,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,3,4,3.98,20,65,68.9,60.2,Junior,No,2,No,Yes,No,Right,No,Female,International,No affiliation,Agree,Disagree,Disagree,Disagree
2022/09/20 2:41:30 pm GMT-5,Beer,3,No,No,Introvert,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,Instagram,850,Netflix;Amazon Prime;HBO Max,26,"85,000",Baseball,120,8,Pretty happy,1300,10,C,8,No,Even,December,Summer,South campus,Physical Sciences / Natural Sciences / Engineering,2,4.65,3.7,20,74,71,64,Junior,No,3,No,No,Yes,Left,Yes,Male,Midwest,Independent,Agree,Disagree,Disagree,Disagree
2022/09/20 3:59:39 pm GMT-5,Beer,1,No,No,Extrovert,Yes,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFP,Instagram,1200,Amazon Prime,25,"10,000",Sleep,10,8,Pretty happy,8000,6,Y,4,Yes,Odd,August,Fall,Neither,Social Sciences / Education;Math / Statistics / Computer Science,2,4.3,3.9,21,62,65,66,Junior,Yes,2,No,No,Yes,Right,No,Female,West,No affiliation,Agree,Disagree,Agree,Agree
2022/09/20 4:00:22 pm GMT-5,I don't drink,0,No,No,Introvert,No,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",INFJ,none,100,Hulu,never,"90,000",none,0,3,Don't know,6182,none,none,5,No,Even,February,Spring,Neither,Social Sciences / Education;Math / Statistics / Computer Science,2,4.6,3.4,19,66,68,65,Sophomore,Yes,3,No,No,No,Right,Yes,Female,International,No affiliation,Agree,Agree,Disagree,Agree
