Timestamp,fav_alcohol,parties_per_month,smoke,weed,introvert_extrovert,love_first_sight,learning_style,left_right_brained,personality_type,social_media,num_insta_followers,streaming_platforms,expected_marriage_age,expected_starting_salary,fav_sport,minutes_ex_per_week,sleep_hours_per_day,how_happy,farthest_distance_travelled,fav_number,fav_letter,internet_hours_per_day,only_child,birthdate_odd_even,birth_month,fav_season,living_location_on_campus,major,num_majors_minors,high_school_GPA,NU_GPA,age,height,height_father,height_mother,school_year,procrastinator,num_clubs,student_athlete,AP_stats,used_python_before,dominant_hand,childhood_in_US,gender,region_of_residence,political_affliation,cant_change_math_ability,can_change_math_ability,math_is_genetic,much_effort_is_lack_of_talent
2022/09/13 1:43:34 pm GMT-5,I don't drink,1,No,Occasionally,Introvert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram;Snapchat;TikTok,1040,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,24,80000,Basketball,240,5,Pretty happy,7000,7,A,7,0,Odd,September,Fall,South campus,Math / Statistics / Computer Science,2,,,19,,,,Sophomore,1,4,0,0,1,Right,1,Female,Northeast,Democrat,0,1,0,0
2022/09/13 5:28:17 pm GMT-5,Hard liquor/Mixed drink,3,No,Occasionally,Extrovert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Instagram;Twitter;Snapchat;TikTok,1100,"HBO Max;Disney+;Paramount Plus, Peacock",30,80000,Tennis,180,7,Very happy,7000,5,A,8,0,Odd,May,Fall,North campus,Humanities / Communications;Math / Statistics / Computer Science,2,,3.415,19,65,,60,Sophomore,1,2,0,1,1,Right,1,Male,West,Democrat,0,1,0,0
2022/09/13 7:56:38 pm GMT-5,Hard liquor/Mixed drink,3,No,Yes,Introvert,0,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram;Snapchat;TikTok,700,Netflix,28,110000,Swimming,60,10,Pretty happy,8000,12,M,6,0,Odd,January,Summer,North campus,Physical Sciences / Natural Sciences / Engineering,3,,3.627,20,64,66,64,Sophomore,1,2,0,0,0,Right,0,Female,International,No affiliation,0,1,0,0
2022/09/13 10:34:37 pm GMT-5,Hard liquor/Mixed drink,12,No,No,Extrovert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram;Twitter;Snapchat;TikTok,2000,Netflix;Hulu;Disney+,29,100000,football,300,7,Pretty happy,6600,19,D,7,0,Odd,May,Summer,South campus,Math / Statistics / Computer Science,3,,3.485,19,65,71,69,Sophomore,0,1,0,1,0,Right,1,Female,Southeast,Democrat,0,1,0,0
2022/09/14 4:46:19 pm GMT-5,I don't drink,1,No,No,Extrovert,1,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,Facebook;Instagram;TikTok,500,Netflix;Amazon Prime;HBO Max,30,60000,Swimming,0,7,Pretty happy,3602,7,S,5,0,Even,May,Spring,Neither,Humanities / Communications;Math / Statistics / Computer Science,2,3.9,3.8,20,65,68,60,Junior,1,2,0,0,0,Right,1,Female,Northeast,Democrat,1,0,0,0
2022/09/14 10:05:24 pm GMT-5,Hard liquor/Mixed drink,2,No,Occasionally,Extrovert,1,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENFP,Facebook;Instagram;Twitter;Snapchat;TikTok,270,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,27,75000,Volleyball,360,7,Pretty happy,3603,2307,A,6,0,Odd,March,Fall,North campus,Social Sciences / Education;Math / Statistics / Computer Science,3,3.99,3,20,70,65,60,Junior,1,2,0,1,1,Right,1,Male,International,Democrat,0,1,0,0
2022/09/15 1:17:10 am GMT-5,Hard liquor/Mixed drink,2,No,Occasionally,Introvert,1,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram;Twitter;Snapchat;TikTok,1557,Netflix;Hulu,26,80000,Swimming,60,7,Pretty happy,8338,69,k,8,0,Odd,February,Fall,Neither,Social Sciences / Education;Math / Statistics / Computer Science,3,4.3,3.8,20,69,67,64,Junior,1,4,0,1,1,Right,1,Male,Midwest,Democrat,0,1,0,0
2022/09/15 2:37:56 am GMT-5,I don't drink,0,No,No,Introvert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Instagram,500,None,28,40000,Figure skating,140,7,Very happy,2700,2,a,4,0,Even,January,Fall,North campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,4,4.34,3.9,20,65,,,Junior,1,7,0,1,1,Right,1,Female,Midwest,Democrat,1,0,0,0
2022/09/15 9:08:26 am GMT-5,I don't drink,1,No,No,Extrovert,0,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENTP,TikTok,100,Amazon Prime,30,130000,Yoga,60,8,Pretty happy,6585,7,E,8,0,Odd,May,Spring,Neither,Social Sciences / Education;Math / Statistics / Computer Science,3,3.93,3.87,20,63,,,Junior,1,3,0,1,1,Right,0,Female,International,No affiliation,1,0,1,1
2022/09/15 12:40:41 pm GMT-5,I don't drink,1,No,No,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,Facebook;Instagram,800,Netflix;Hulu;Amazon Prime,26,90000,swimming ,0,8,Not too happy,,2,z,8,0,Odd,January,Summer,Neither,Math / Statistics / Computer Science,1,3.92,,20,,,62,Junior,1,0,0,1,1,Right,0,Female,Midwest,Democrat,0,1,1,1
2022/09/15 1:39:05 pm GMT-5,Wine,1,No,No,Introvert,0,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Facebook;Instagram,420,Amazon Prime,28,36000,I don't have one,150,7,Pretty happy,7700,17,A,4,0,Odd,February,Summer,South campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,3,4,3.9,20,64,,,Sophomore,0,3,0,0,1,Right,0,Female,International,No affiliation,0,1,0,0
2022/09/15 5:33:44 pm GMT-5,Hard liquor/Mixed drink,1,No,No,Extrovert,1,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENFP,"Instagram;Snapchat;BeReal, Yik Yak",800,Netflix,30,55000,Rowing,60,7,Pretty happy,1200,420,Z,5,0,Even,April,Spring,North campus,Math / Statistics / Computer Science,2,3.8,3.3,21,69,68,,Senior,1,5,0,1,1,Right,0,Male,West,Independent,0,1,0,0
2022/09/15 7:39:07 pm GMT-5,Hard liquor/Mixed drink,4,No,No,Extrovert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,Facebook;Instagram;Twitter;Snapchat,800,Netflix,30,75000,Dance,0,7,Pretty happy,9000,12,A,3,0,Odd,January,Fall,North campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,2,4.12,3.83,19,68,65,63,Sophomore,0,2,0,1,1,Right,0,Female,International,No affiliation,0,1,0,0
2022/09/16 8:38:33 am GMT-5,I don't drink,1,No,No,Introvert,0,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Snapchat,950,Netflix,30,60000,Badminton,6,8,Pretty happy,8614,7,N,3,1,Odd,April,Summer,South campus,Social Sciences / Education,3,4.58,3.975,19,63.8,70.5,63,Sophomore,0,2,0,0,1,Right,0,Female,International,No affiliation,0,1,0,0
2022/09/16 9:11:17 am GMT-5,I don't drink,6,No,No,Introvert,0,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTP,Snapchat;youtube,300,none,,60000,don't have one,60,7,Not too happy,6500,12,k,10,0,Odd,May,Fall,North campus,Math / Statistics / Computer Science,2,3.95,3.8,19,70,67,60,Sophomore,1,2,0,1,1,Right,1,Male,Midwest,No affiliation,0,1,0,1
2022/09/16 10:20:05 am GMT-5,Hard liquor/Mixed drink,2,No,No,Introvert,1,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Snapchat,501,Netflix;Amazon Prime,30,100000,Volleyball,300,8,Pretty happy,4200,45,T,6,0,Even,October,Fall,Neither,Math / Statistics / Computer Science,3,3.9,3.86,20,76,74,68,Junior,1,2,0,0,1,Right,1,Male,Midwest,Democrat,0,1,0,0
2022/09/16 12:42:16 pm GMT-5,Hard liquor/Mixed drink,10,No,No,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFP,Facebook;Instagram;Twitter;Snapchat;TikTok,1100,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,25,60000,football,90,7,Pretty happy,,16,C,5,0,Even,January,Spring,North campus,Humanities / Communications;Physical Sciences / Natural Sciences / Engineering,3,4.5,3.8,20,64,68,62,Junior,1,3,0,1,0,Right,1,Female,Southeast,Democrat,0,1,0,0
2022/09/16 6:23:28 pm GMT-5,I don't drink,1,No,No,Introvert,1,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,Instagram,1500,Hulu;HBO Max,25,80000,basketball,100,8,Very happy,,7,L,,0,Even,July,Fall,Neither,Humanities / Communications;Social Sciences / Education,4,,3.87,20,64.6,69,63,Junior,0,3,0,0,1,Right,0,Female,International,No affiliation,0,0,0,0
2022/09/16 6:31:05 pm GMT-5,I don't drink,5,No,No,Extrovert,0,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ESTP,Instagram;TikTok,1100,Netflix;Disney+,30,80000,Football,250,6,Pretty happy,3000,26,P,5,0,Even,February,Winter,South campus,Social Sciences / Education,2,,,20,70,67,67,Junior,1,2,0,1,0,Right,1,Male,Northeast,No affiliation,1,0,0,1
2022/09/16 8:54:07 pm GMT-5,Wine,1,Occasionally,No,Introvert,1,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Facebook;Instagram,400,Netflix,28,160000,MMA,240,6,Pretty happy,8206,6,T,6,1,Odd,January,Fall,North campus,Social Sciences / Education;Physical Sciences / Natural Sciences / Engineering,3,3.9,3.8,19,71,66,63,Sophomore,1,4,0,0,1,Left,0,Male,International,No affiliation,0,1,0,1
2022/09/16 11:38:35 pm GMT-5,I don't drink,1,No,No,Introvert,0,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",INTP,Instagram,450,Netflix;HBO Max,30,50000,Cycling ,300,7,Not too happy,6583,7,X,10,0,Odd,September,Spring,South campus,Humanities / Communications;Math / Statistics / Computer Science,2,,3.94,20,63.78,,,Sophomore,1,1,0,0,1,Right,0,Female,International,No affiliation,1,0,1,0
2022/09/17 10:03:44 am GMT-5,Hard liquor/Mixed drink,1,No,Occasionally,Extrovert,0,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Instagram;Twitter;Snapchat;TikTok,1000,Netflix;Hulu,30,55000,Basketball,630,7,Pretty happy,2000,44,K,5,0,Odd,October,Fall,Neither,Humanities / Communications,2,4,3.8,19,63,67,61,Junior,1,2,0,1,1,Right,1,Female,Midwest,Democrat,0,1,0,0
2022/09/17 10:23:33 am GMT-5,Wine,6,No,No,Introvert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,Snapchat;TikTok,900,Netflix;Amazon Prime;HBO Max;Disney+,25,50000,gymnastics,420,8,Pretty happy,3324,11,d,4,0,Even,February,Fall,Neither,Physical Sciences / Natural Sciences / Engineering,2,4.34,4,19,62,72,61,Junior,0,1,0,0,1,Right,1,Female,Northeast,Democrat,1,0,1,0
2022/09/17 10:32:59 am GMT-5,Hard liquor/Mixed drink,1,No,Occasionally,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISTP,Instagram;Snapchat;TikTok,368,Netflix;Disney+,28,100000,pool,50,7,Don't know,8200,4,T,3,0,Even,February,Winter,North campus,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,2,3.93,,19,69,65,64,Sophomore,1,2,0,0,1,Right,1,Male,Northeast,No affiliation,0,1,1,1
2022/09/17 12:54:47 pm GMT-5,Hard liquor/Mixed drink,4,No,Occasionally,Extrovert,1,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ESFP,Facebook;Instagram;Snapchat;TikTok,700,Netflix;Disney+,28,75000,Badminton,0,7,Not too happy,8374,24,A,6,0,Odd,November,Winter,South campus,Social Sciences / Education,2,5,3.6,21,65,67,64,Senior,1,2,0,1,1,Right,1,Female,Midwest,Democrat,1,0,0,1
2022/09/17 2:46:16 pm GMT-5,I don't drink,5,No,No,Introvert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram;Snapchat,1100,Netflix;HBO Max;Disney+,25,60000,Rowing,60,8,Pretty happy,1050,12,M,4,0,Even,September,Fall,South campus,Social Sciences / Education;Math / Statistics / Computer Science,3,3.64,3.62,19,67,71,64,Junior,0,4,0,0,1,Right,1,Female,Midwest,Democrat,0,1,0,0
2022/09/17 3:49:17 pm GMT-5,Hard liquor/Mixed drink,2,Yes,No,Extrovert,1,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENFJ,Instagram,1000,Netflix,25,90000,Skiing,240,8,Very happy,6824,8,W,6,0,Even,August,Spring,Neither,Math / Statistics / Computer Science,2,3.95,3.78,20,66,69,67,Junior,1,3,0,0,1,Right,1,Female,West,Republican,0,1,0,0
2022/09/17 6:28:37 pm GMT-5,Beer,6,No,Occasionally,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFP,Instagram;Twitter,800,Netflix;Amazon Prime,27,160000,Football,300,8,Not too happy,8400,7,T,6,0,Odd,November,Spring,Neither,Social Sciences / Education;Math / Statistics / Computer Science,3,4.4,3.8,19,65,70,59,Junior,0,2,0,0,0,Right,1,Male,West,Independent,0,0,0,1
2022/09/17 9:35:58 pm GMT-5,I don't drink,0,No,No,Introvert,1,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,Facebook;Instagram,350,Netflix;Disney+,28,130000,My bed:),180,8,Pretty happy,7300,7,z,4,0,Even,July,Fall,South campus,Social Sciences / Education;Math / Statistics / Computer Science,3,,4,20,65,69,63,Junior,0,2,0,0,1,Right,0,Female,West,No affiliation,0,1,0,0
2022/09/18 8:49:10 am GMT-5,I don't drink,2,No,No,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INFP,Instagram;Twitter,930,HBO Max;Disney+,30,100000,Boxing,420,7,Pretty happy,7763,3,A,1,0,Odd,April,Fall,South campus,Math / Statistics / Computer Science,2,3.99,3.91,19,72,71,60,Sophomore,0,0,0,1,1,Right,1,Male,Southwest,No affiliation,0,1,0,0
2022/09/18 9:41:25 am GMT-5,Beer,1,No,No,Extrovert,0,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENFJ,Instagram,1200,Netflix;Amazon Prime,30,,dance,90,6,Not too happy,,9,J,3,0,Odd,January,Summer,South campus,Humanities / Communications;Math / Statistics / Computer Science,3,,4,20,61,,65,Sophomore,0,4,0,0,1,Right,0,Female,International,No affiliation,1,0,1,0
2022/09/18 10:31:04 am GMT-5,Hard liquor/Mixed drink,2,No,No,Introvert,1,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENFP,Instagram;Twitter,260,"Netflix;Hulu;Amazon Prime;HBO Max;Disney+;Shudder, Apple TV+",35,70000,Cricket,8,6,Pretty happy,7500,47,k,5,1,Even,July,Fall,Neither,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,3,3.8,3.4,21,70,65,60,Senior,1,7,0,1,1,Right,0,Male,International,Democrat,0,1,0,0
2022/09/18 12:55:12 pm GMT-5,Hard liquor/Mixed drink,1,No,No,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTP,Instagram;Twitter;TikTok,300,Netflix;Amazon Prime;HBO Max;Disney+,26,100000,Soccer,180,6,Pretty happy,8050,3,A,4,0,Even,March,Fall,South campus,Social Sciences / Education;Math / Statistics / Computer Science,2,,3.87,19,62.5,70,63.5,Sophomore,1,2,0,0,0,Right,0,Female,International,Democrat,0,0,0,1
2022/09/18 2:03:36 pm GMT-5,Hard liquor/Mixed drink,6,No,Yes,Extrovert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,Instagram;Snapchat;TikTok,1100,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,28,150000,Softball,15,8,Pretty happy,8000,10,K?,5,0,Even,June,Fall,Neither,Social Sciences / Education,2,4.3,3.93,20,67,66,66,Junior,0,3,0,0,1,Left,1,Female,West,Democrat,0,1,0,1
2022/09/18 2:03:44 pm GMT-5,I don't drink,0,No,No,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",INFJ,Snapchat,300,Netflix;Hulu;Amazon Prime,27,70000,Basketball,,8,Pretty happy,,22,J,,0,Even,January,Spring,North campus,Math / Statistics / Computer Science,2,4.08,4.1,19,72,68,65,Sophomore,1,2,0,0,1,Right,1,Male,Midwest,Republican,1,1,0,1
2022/09/18 5:30:03 pm GMT-5,I don't drink,2,No,No,Introvert,1,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Twitter;Snapchat;TikTok,700,Hulu;Amazon Prime,27,100000,Football,150,7,Pretty happy,7900,22,S,5,0,Even,February,Fall,Neither,Physical Sciences / Natural Sciences / Engineering;Math / Statistics / Computer Science,3,,3.65,20,74,73,67,Junior,1,3,0,1,1,Right,1,Male,Northeast,No affiliation,0,0,1,1
2022/09/18 9:08:01 pm GMT-5,Hard liquor/Mixed drink,1,No,Occasionally,Introvert,0,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Instagram;Snapchat,700,Netflix;Hulu,30,70000,tennis,180,6,Pretty happy,,8,S,2,0,Even,August,Winter,South campus,Social Sciences / Education,3,,3.8,21,65,71,64,Senior,1,3,0,1,1,Right,1,Female,Southeast,Democrat,0,1,0,0
2022/09/18 9:32:14 pm GMT-5,Hard liquor/Mixed drink,4,No,No,Extrovert,0,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Instagram,1636,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,25,75000,Volleyball,240,7,Pretty happy,1272,10,R,3,0,Even,May,Fall,South campus,Math / Statistics / Computer Science,3,4.98,,19,,,,Sophomore,1,6,0,1,1,Right,0,Female,Southwest,Democrat,0,1,0,0
2022/09/18 9:41:16 pm GMT-5,I don't drink,0,No,No,Introvert,1,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,Facebook;Instagram,850,Netflix,30,70000,Formula One,60,8,Pretty happy,8700,2,c,4,0,Odd,January,Fall,South campus,Math / Statistics / Computer Science,2,,3.9,20,65,70,61,Junior,1,2,0,0,1,Left,0,Female,International,No affiliation,1,0,0,0
2022/09/18 10:24:50 pm GMT-5,Hard liquor/Mixed drink,5,No,No,Introvert,1,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Twitter;Snapchat;TikTok,1147,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,26,110000,Baseball,1200,7,Not too happy,4189,31,C,6,1,Odd,January,Fall,North campus,Math / Statistics / Computer Science,2,6.6,3.7,19,80,79,64,Sophomore,1,1,1,1,1,Right,1,Male,Midwest,Democrat,0,1,0,1
2022/09/19 12:11:40 am GMT-5,Hard liquor/Mixed drink,7,No,No,Introvert,0,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",Unknown,Instagram;TikTok,1150,Netflix;Hulu,32,85000,Volleyball,210,7,Pretty happy,5935,7,Z,7.5,0,Even,January,Fall,South campus,Math / Statistics / Computer Science,2,4,3.855,19,64,74,62,Sophomore,1,1,0,0,0,Right,1,Female,Midwest,Democrat,0,1,0,0
2022/09/19 11:36:04 am GMT-5,Beer,6,No,Yes,Introvert,0,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Twitter;Snapchat;TikTok,900,Netflix;Hulu;HBO Max;Disney+,27,100000,Basketball,360,8,Pretty happy,4500,4,J,8,0,Even,October,Winter,North campus,Math / Statistics / Computer Science,1,3.8,3.8,19,66,69,62,Sophomore,0,1,0,1,1,Right,1,Male,Midwest,No affiliation,1,0,1,0
2022/09/19 11:42:44 am GMT-5,Beer,6,Occasionally,Occasionally,Introvert,1,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,Facebook;Instagram;Snapchat,1400,Netflix;Hulu;Amazon Prime,26,200000,Swimming,720,9,Pretty happy,4300,7,T,4,0,Even,October,Winter,North campus,Math / Statistics / Computer Science,4,4.8,3.9,19,79,72,68,Sophomore,0,4,0,0,1,Right,1,Male,West,Democrat,0,1,0,0
2022/09/19 12:01:27 pm GMT-5,Wine,9,No,Occasionally,Extrovert,0,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,Instagram;Snapchat;TikTok,2587,Netflix;Hulu;Amazon Prime,27,100000,Hockey,240,7,Pretty happy,708,3,E,4,0,Odd,April,Fall,South campus,Humanities / Communications;Social Sciences / Education,3,3.97,3.81,19,62,70,64,Sophomore,0,3,0,0,1,Both,1,Female,Southeast,Independent,1,0,0,1
2022/09/19 12:17:36 pm GMT-5,Hard liquor/Mixed drink,8,No,Occasionally,Extrovert,0,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,Instagram;Snapchat;TikTok,1400,Netflix;Amazon Prime,26,100000,Hockey,360,8,Pretty happy,4800,19,K,8,0,Odd,February,Fall,North campus,Social Sciences / Education,2,4.97,3.78,19,76,73,63,Sophomore,1,3,0,1,1,Right,1,Male,Midwest,Independent,1,0,0,0
2022/09/19 1:14:52 pm GMT-5,Beer,2,No,No,Introvert,1,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",INTJ,Instagram;Snapchat,425,Netflix;Hulu;Amazon Prime;HBO Max;Disney+,28,75000,soccer,240,8,Very happy,2130,3,C,5,0,Odd,August,Spring,North campus,Humanities / Communications;Math / Statistics / Computer Science,2,,3.75,19,69,68,64,Sophomore,0,2,0,0,1,Right,1,Male,Northeast,Democrat,0,1,0,0
